rank,track ID,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,position_restore
4,3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,1,2,23,23670415,204
10,2cnKST6T9qUo2i907lm8zX,J. Cole,a m a r i,"Dreamville, Inc., Under exclusive license to Roc Nation Records",10,-1,1,23579509,3810
14,05bfbizlM5AX6Mf1RRyMho,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,Flow La Movie,14,-1,1,23435409,4814
6,65OVbaJR5O1RmwOQx0875b,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),OVO,6,-1,1,23417143,1806
10,3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,Heartbreak Anniversary,Epic/Not So Fast,8,8,9,23116338,2810
12,776AftMmFFAWUIEAb3lHhw,Måneskin,ZITTI E BUONI,RCA Records Label,12,19,3,23017312,4212
9,00Blm7zeNqgYLPtW6zg8cj,"Post Malone, The Weeknd",One Right Now (with The Weeknd),Republic Records,9,-1,1,23006418,8407
15,0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,Kemosabe Records/RCA Records,15,-1,1,22992708,4815
11,5W8jRrZ6tWrTrqnKRtIQBf,"J. Cole, Lil Baby",p r i d e . i s . t h e . d e v i l (with Lil Baby),"Dreamville, Inc., Under exclusive license to Roc Nation Records",11,-1,1,22934823,3811
11,2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),Chocolate City Music,9,9,5,22746839,7609
9,6w8ZPYdnGajyfPddTWdthN,Adele,Can I Get It,Columbia,9,-1,1,22611545,8807
17,0MMyJUC3WNnFS1lit5pTjk,Olivia Rodrigo,"jealousy, jealousy",Olivia Rodrigo PS,17,-1,1,22369988,4017
12,4gzsuuZypVbxs0Af1LSZyB,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Neon16,12,89,2,22347970,7610
22,34D6FJysnQioVingDKufuf,"Drake, Future",N 2 Deep,OVO,22,-1,1,22025962,6620
10,2rCbl9naJYhaxjLsfx88uM,"Sebastian Yatra, Myke Towers",Pareja Del Año,UMLE - Latino,10,12,4,21772431,3610
4,35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,1,6,11,21761667,4
5,7vrJn5hDSXRmdXoR30KgF1,KAROL G,BICHOTA,UMLE - Latino,3,5,12,21706067,205
15,7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,Monkey Puzzle/Atlantic,12,23,19,21636448,9613
9,6F2r4HgpJnvKDmkN6JEN6J,"Justin Bieber, Khalid",As I Am (feat. Khalid),RBMG/Def Jam,9,-1,1,21522896,2209
11,2DuPBbS5mIldXnh7Wum8Cy,Adele,My Little Love,Columbia,11,-1,1,21335150,8809
12,6v0UJD4a2FtleHeSYVX02A,Adele,I Drink Wine,Columbia,12,-1,1,21250784,8810
7,31qCy5ZaophVA81wtlwLc4,Justin Bieber,Anyone,RBMG/Def Jam,6,6,2,21069130,207
8,6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,Republic Records,5,7,11,21065903,208
15,3qCeq0rWK67SoBDgFd2sId,José Feliciano,Feliz Navidad,RCA Records Label,14,16,24,21021159,9813
14,4gvrJnKCKIPiacNsWVQwEU,"CKay, Dj Yo!, AX'EL",love nwantiti (feat. Dj Yo! & AX'EL) - Remix,WM South Africa,14,14,6,20904632,8012
5,3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,Top Dawg Entertainment/RCA Records,5,7,5,20809013,605
18,40uMIn2zJLAQhNXghRjBed,Post Malone,Motley Crew,Republic Records,18,-1,1,20518441,5218
15,0eu4C55hL6x29mmeAjytzC,Oliver Tree,Life Goes On,Atlantic Records,15,18,5,20447801,7413
15,08LwMWf5Tcfsd752EPzFV0,J. Cole,i n t e r l u d e,"Dreamville, Inc., Under exclusive license to Roc Nation Records",15,21,2,20117260,3815
6,1xK1Gg9SxG8fy2Ya373oqb,"Myke Towers, Juhn",Bandido,White World Music,5,6,10,20095918,1406
13,4R67rQNSbbsR4TdUVOIdez,Travis Scott,ESCAPE PLAN,Cactus Jack / Epic,13,-1,1,20022548,8411
11,4OAuvHryIVv4kMDNSLuPt6,Taylor Swift,Red (Taylor's Version),Taylor Swift,11,-1,1,19661760,8609
19,6uqyE384HDSsuwpoF4mjrL,Billie Eilish,NDA,Darkroom/Interscope Records,19,-1,1,19622725,5219
18,5R691ipUYRDYW6ehapjoj6,J. Cole,9 5 . s o u t h,"Dreamville, Inc., Under exclusive license to Roc Nation Records",18,-1,1,19610820,3818
14,4btFHqumCO31GksfuBLLv3,Ed Sheeran,Overpass Graffiti,Atlantic Records UK,14,-1,1,19584255,8212
22,1zejeOnykpCoyVSit6Bwp3,Olivia Rodrigo,hope ur ok,Olivia Rodrigo PS,22,-1,1,19533407,4022
16,13CVSGLSFl4UxpDVR6u3dq,Adele,Strangers By Nature,Columbia,16,-1,1,19508404,8814
13,3nsfB1vus2qaloUdcBZvDu,Taylor Swift,All Too Well (Taylor's Version),Taylor Swift,13,-1,1,19501557,8611
12,6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,Atlantic Records,9,12,22,19493924,2412
23,4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC,2,52,40,19475201,4023
19,3nAp4IvdMPPWEH9uuXFFV5,Kelly Clarkson,Underneath the Tree,RCA Records Label,9,26,20,19452712,9617
8,27OeeYzk6klgBh83TSvGMA,The Kid LAROI,WITHOUT YOU,Columbia,8,9,7,19445485,408
19,2dNhNlpZAtV4lwAFW45LIv,"Nio Garcia, Flow La Movie",AM,"Flow La Movie, Inc.",13,13,6,19361444,3819
21,7BoobGhD4x5K96Me0hqC8Q,Bella Poarch,Build a Bitch,Warner Records,21,24,3,19087081,4221
16,4cG7HUWYHBV6R6tHn1gxrl,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Ministry of Sound Recordings,16,16,10,19050193,3216
20,20on25jryn53hWghthWWW3,"ACRAZE, Cherish",Do It To It,"Thrive Music, LLC",15,17,8,18991725,9618
26,11pEKMLmavDu8fxOB5QjbQ,Drake,Pipe Down,OVO,26,-1,1,18888249,6624
