Rank,Track_id,Streams,Track Name,Artist,URL,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,duration_ms,key,mode,Artist_id,Artist_popularity
96.0,1HfMVBKM75vxSfsQ5VefZ5,247670122,Lose You To Love Me,Selena Gomez,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,0.576,0.505,0.34,0.0,0.21,"-9,005",0.0438,0.0916,"101,993",4,206459,4,1,0C8ZW7ezQVs4URX5aX7Kqx,93
97.0,3Ol2xnObFdKV9pmRD2t9x8,245999607,Look Back at It,A Boogie Wit da Hoodie,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,0.407,0.791,0.587,0.0,0.148,"-5,075",0.0413,0.536,"96,057",4,179449,3,0,31W5EY0aAly4Qieq6OFu6I,91
98.0,6oJ6le65B3SEqPwMRNXWjY,244663742,Higher Love,Kygo,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,0.0154,0.693,0.678,6.05e-06,0.101,"-7,159",0.0324,0.404,"103,952",4,228267,8,1,23fqKkggKUBHNkbKtXEls4,89
99.0,6LsAAHotRLMOHfCsSfYCsz,243846086,If I Can't Have You,Shawn Mendes,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,0.524,0.692,0.809,0.0,0.147,"-4,198",0.0602,0.864,"123,911",4,190800,2,1,7n2wHs1TKAczGzO7Dd2rGr,94
100.0,25ZAibhr3bdlMCLmubZDVt,243022680,QUE PRETENDES,J Balvin,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,0.0275,0.639,0.791,0.0,0.362,"-4,443",0.253,0.939,"92,603",4,222347,10,0,1vyhD5VmyZ7KMfW5gqLgo5,99
101.0,1tNJrcVe6gwLEiZCtprs1u,241871669,3 Nights,Dominic Fike,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,0.223,0.815,0.518,0.0,0.104,"-6,594",0.0897,0.877,"151,891",4,177667,7,0,6USv9qhCn6zfxlBQIYJ9qs,78
102.0,5JEx7HbmvHQQswJCsoo9rA,241771587,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,0.0969,0.574,0.758,0.0,0.395,"-5,029",0.0621,0.492,"144,111",4,182623,1,0,0X2BH1fck6amBIoJhDVmmJ,87
103.0,0FZ4Dmg8jJJAPJnvBIzD9z,234743093,ZEZE,Kodak Black,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,0.0521,0.861,0.603,0.0,0.0924,"-5,788",0.176,0.504,"98,043",4,228760,8,0,46SHBwWsqBkxI7EeeBEQG7,87
104.0,58q2HKrzhC3ozto2nDdN4z,232540653,I Like It,Cardi B,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,0.099,0.816,0.726,0.0,0.372,"-3,998",0.129,0.65,"136,048",4,253390,5,0,4kYSro6naA4h99UJvo89HB,92
105.0,6moU77g9RQyMzHNuKEaQKq,231359951,It's You,Ali Gatie,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq,0.374,0.732,0.463,0.0,0.194,"-6,972",0.0287,0.397,"95,971",4,212607,11,0,4rTv3Ejc7hKMtmoBOK1B4T,82
106.0,1mXVgsBdtIVeCLJnSnmtdV,231333261,Too Good At Goodbyes,Sam Smith,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,0.64,0.681,0.372,0.0,0.169,"-8,237",0.0432,0.476,"91,873",4,201000,5,1,2wY79sveU1sp5g7SokKOiI,92
107.0,4bTZeO72FwMa6wKOiqoynL,225763114,Otro Trago - Remix,Sech,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,0.79,1.14e-06,0.0602,"-2,331",0.197,0.763,"175,988",4,287773,0,1,77ziqFxp5gaInVrF2lj4ht,95
108.0,2tnVG71enUj33Ic2nFN6kZ,224475222,Ride It,Regard,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,0.177,0.88,0.751,6.43e-05,0.106,"-4,258",0.0874,0.884,"117,948",4,157606,7,0,4ofCBoyEiGSePFAG500xev,83
109.0,0Ryd8975WihbObpp5cPW1t,220843950,boyfriend (with Social House),Ariana Grande,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,0.119,0.4,0.795,0.0,0.159,"-3,731",0.461,0.702,"190,097",4,186107,10,0,66CXWjxzNUsdJxJ2JdwvnR,97
110.0,6WrI0LAC5M1Rw2MnX2ZvEg,214189803,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,0.0125,0.794,0.793,0.0,0.0952,"-4,521",0.0842,0.677,"123,941",4,183290,11,0,6M2wZ9GZgrQXHCFfjv46we,93
111.0,6cy3ki60hLwimwIje7tALf,212689345,RITMO (Bad Boys For Life),The Black Eyed Peas,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,0.0334,0.721,0.716,0.00084,0.237,"-7,037",0.0657,0.667,"104,994",4,221714,10,0,1yxSLGMDHlW21z4YXirZDS,88
112.0,059bcIhyc2SBwm6sw2AZzd,209597510,Te Vi,Piso 21,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,0.0446,0.877,0.777,3.46e-05,0.0863,"-4,246",0.117,0.706,102.02,4,231848,1,1,4bw2Am3p9ji3mYsXNXtQcd,84
113.0,0RiRZpuVRbi7oqRdSMwhQY,209280692,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,0.533,0.755,0.522,0.0,0.0685,"-4,368",0.0575,0.925,89.96,4,157560,2,1,246dkjvS1zLTtiykXe5h60,100
114.0,3jbT1Y5MoPwEIpZndDDwVq,208735836,Adicto (with Anuel AA & Ozuna),Tainy,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,0.017,0.734,0.836,1.64e-05,0.179,"-4,803",0.0735,0.623,"80,002",4,270741,10,0,0GM7qgcRCORpGnfcN2tCiB,86
115.0,2t8yVaLvJ0RenpXUIAC52d,208239865,a lot,21 Savage,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,0.0395,0.837,0.636,0.00125,0.342,"-7,643",0.086,0.274,"145,972",4,288624,1,1,1URnnhqYAYcrqrcwql10ft,90
116.0,5kfNriitmkNE8mUbZ7gbq8,207066874,Saturday Nights,Khalid,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,0.606,0.551,0.44,3.02e-05,0.11,"-8,559",0.0985,0.341,"167,923",4,210667,10,1,6LuN9FCkKOj5PcnpouEgny,96
