pos,year,track_ID,artist_names,track_name,genres,danceability,energy,speechiness,acousticness,liveness,valence,tempo,duration_sec
199,2022,5wG3HvLhF6Y5KTGlK0IW3J,Metro Boomin Travis Scott Young Thug,Trance (with Travis Scott & Young Thug),[hip hop],0.57,0.55,0.4,0.18,0.17,0.45,119.5,194.786
200,2022,2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),[R&B],0.73,0.74,0.04,0.37,0.16,0.53,93.01,145.8
201,2021,0gplL1WMoJ6iYaPgMCL0gX,Adele,Easy On Me,[pop],0.6,0.37,0.03,0.58,0.13,0.13,141.98,224.694
202,2021,4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,[pop],0.56,0.66,0.15,0.34,0.08,0.69,166.93,178.146
203,2021,7lPN2DXiMsVn7XUKtOW1CS,Olivia Rodrigo,drivers license,[pop],0.59,0.44,0.06,0.72,0.11,0.13,143.87,242.013
204,2021,5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI  Justin Bieber,STAY (with Justin Bieber),[pop],0.59,0.76,0.05,0.04,0.1,0.48,169.93,141.805
205,2021,3VqeTFIvhxu3DIe4eZVzGq,BTS,Butter,[k-pop],0.76,0.46,0.09,0,0.09,0.7,110,164.441
206,2021,67BtfxlNbhBmCDR2L2l8qd,Lil Nas X,MONTERO (Call Me By Your Name),[hip hop],0.61,0.51,0.15,0.3,0.38,0.76,178.82,137.875
207,2021,5Z9KJZvQzH6PFmb8SNkxuk,Lil Nas X  Jack Harlow,INDUSTRY BABY (feat. Jack Harlow),[hip hop],0.74,0.69,0.07,0.02,0.05,0.89,150.09,212.352
208,2021,4iJyoBOLtHqaGxP12qzhQI,Justin Bieber  Daniel Caesar  Giveon,Peaches (feat. Daniel Caesar & Giveon),[pop],0.68,0.7,0.12,0.32,0.42,0.46,90.03,198.081
209,2021,3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin,[rock],0.71,0.8,0.05,0.13,0.36,0.59,134,211.56
210,2021,4fSIb4hdOQ151TILNsSEaF,Rauw Alejandro,Todo De Ti,[latin],0.78,0.72,0.05,0.31,0.09,0.34,127.95,199.604
211,2021,37Nqx7iavZpotJSDXZWbJ3,Drake  Lil Baby,Girls Want Girls (with Lil Baby),[hip hop],0.77,0.44,0.29,0.18,0.14,0.38,86.98,221.979
212,2021,6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,[pop],0.44,0.61,0.11,0.58,0.37,0.18,180.92,215.506
213,2021,40iJIUlhi6renaREYGeIDS,Drake  Travis Scott,Fair Trade (with Travis Scott),[hip hop],0.67,0.47,0.26,0.05,0.22,0.29,167.94,291.175
214,2021,5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylors Version) (From The Vault),[pop],0.63,0.52,0.03,0.27,0.09,0.21,93.02,613.026
215,2021,0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,[pop],0.34,0.63,0.04,0.16,0.07,0.35,150.27,241.106
216,2021,2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,[latin],0.64,0.65,0.12,0.28,0.14,0.44,179.95,206.71
217,2021,6PQ88X9TkUIAUIZJHW2upE,Ed Sheeran,Bad Habits,[pop],0.81,0.9,0.03,0.05,0.36,0.59,126.03,231.041
218,2021,0k1WUmIRnG3xU6fvvDVfRG,Drake  Future  Young Thug,Way 2 Sexy (with Future & Young Thug),[hip hop],0.8,0.6,0.14,0,0.32,0.33,136.01,257.604
219,2021,0LThjFY2iTtNdd4wviwVV2,BTS,Permission to Dance,[k-pop],0.7,0.74,0.04,0.01,0.34,0.65,124.93,187.585
220,2021,748mdHapucXQri7IAO8yFK,Doja Cat  SZA,Kiss Me More (feat. SZA),[pop],0.76,0.7,0.03,0.24,0.12,0.74,110.97,208.866
221,2021,2FRnf9qhLbvw8fu4IBXx78,Wham!,Last Christmas,[pop],0.74,0.48,0.03,0.19,0.36,0.95,107.68,262.96
222,2021,4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,[pop],0.7,0.54,0.05,0.3,0.37,0.42,121.93,168.601
223,2021,2HSmyk2qMN8WQjuGhaQgCk,Drake,Champagne Poetry,[hip hop],0.42,0.67,0.33,0.76,0.25,0.5,86.74,336.511
224,2021,3Kkjo3cT83cw09VJyrLNwX,Adele,Oh My God,[pop],0.53,0.73,0.05,0.09,0.03,0.55,88.1,225.148
225,2021,4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,[pop],0.33,0.23,0.03,0.77,0.13,0.3,81.06,298.899
226,2021,5qNh5WtzMbfpSj2jLlBkoD,Billie Eilish,Your Power,[pop],0.63,0.29,0.08,0.94,0.23,0.2,129.65,245.896
227,2021,5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,[pop],0.38,0.34,0.03,0.69,0.12,0.08,100.61,229.226
228,2021,3FeVmId7tL5YN8B7R3imoM,Coldplay. BTS,My Universe,[pop],0.59,0.7,0.04,0.01,0.2,0.44,104.99,228
229,2021,0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,[hip hop],0.74,0.85,0.22,0.01,0.05,0.55,87.98,143.901
230,2021,43PGPuHIlVOc04jrZVh9L6,Polo G,RAPSTAR,[hip hop],0.79,0.54,0.24,0.41,0.13,0.44,81.04,165.925
231,2021,50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,[pop],0.79,0.86,0.09,0.28,0.04,0.82,141.02,207.853
232,2021,4MzXwWMhyBbmu6hOcLVD49,Bad Bunny  Jhayco,DÁKITI,[latin],0.73,0.57,0.05,0.4,0.11,0.15,109.93,205.09
233,2021,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,[indie pop],0.76,0.53,0.09,0.44,0.09,0.53,80.87,238.805
234,2021,6SRsiMl7w1USE4mFqrOhHC,Olivia Rodrigo,brutal,[pop],0.67,0.53,0.06,0.03,0.28,0.28,124,143.746
235,2021,5nujrmhLynf4yMoMtj8AQF,Dua Lipa. DaBaby,Levitating (feat. DaBaby),[pop],0.7,0.83,0.06,0.01,0.07,0.92,102.98,203.064
