track_ID,artist_names,track_name,source,streams
4WuOWVnAqvEQxgSRrspBgt,Metro Boomin Travis Scott 21 Savage,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Republic Records,18897084
3KyKxJ4P3pVCgaZwaq2rUC,The Weeknd,Gasoline,XO / Republic Records,18876791
7CAdT0HdiQNlt1C7xk2hep,Jung Kook,Stay Alive (Prod SUGA of BTS),BIGHIT MUSIC,18807862
2GAhgAjOhEmItWLfgisyOn,SZA,Low,Top Dawg Entertainment/RCA Records,18756469
2Ghp894n1laIf2w98VeAOJ,The Weeknd,How Do I Make You Love Me?,XO / Republic Records,18711962
0RAvy97QRPzO2AfK5Dw6j3,Kendrick Lamar Taylour Paige,We Cry Together,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,18645670
0oiv4E896TUTTeQU0cmIui,Drake,Massive,OVO,18630040
0UvZcEfpzVyx47QsRbjyBz,Bad Bunny,El Apagón,Rimas Entertainment LLC,18620094
4C6Uex2ILwJi9sZXRdmqXp,Nicki Minaj,Super Freaky Girl,Republic Records,18540895
7pj6P5WnxkZsw3XRc8eMe1,Kendrick Lamar,Count Me Out,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,18291467
5S9Zs5g9lTWnLIboN1pdlU,Lauren Spencer Smith,Fingers Crossed,Three Name Productions Inc/ Island Records & Republic Records,18286101
1ri9ZUkBJVFUdgwzCnfcYs,Becky G KAROL G,MAMIII,Kemosabe Records/RCA Records,18283042
0wavGRldH0AWyu2zvTz8zb,Taylor Swift,Sweet Nothing,Taylor Swift,17940803
0h7QMc9ZRzA9QJrbEHytn2,JIN,The Astronaut,BIGHIT MUSIC,17902778
4Flfb4fGscN9kXPOduQLrv,Drake 21 Savage,Treacherous Twins,OVO / Republic Records,17860830
59nOXPmaKlBfGMDeOVGrIK,Future Drake Tems,WAIT FOR U (feat Drake & Tems),Epic/Freebandz,17840856
0wihfILRNOwE2156Shezc8,Bad Bunny,Agosto,Rimas Entertainment LLC,17716688
46HNZY1i7O6jwTA7Slo2PI,Coldplay BTS,My Universe,Parlophone UK,17268944
410TZrK18uRjtsTunG14cl,Drake,Middle of the Ocean,OVO / Republic Records,17189488
0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Epic,17044116
