pos,year,track_ID,artist_names,track_name,genres,danceability,energy,speechiness,acousticness,liveness,valence,tempo
627,2019,5qmq61DAAOUaW8AUo8xKhh,Lizzo,Truth Hurts,[indie pop],0.72,0.62,0.11,0.11,0.12,0.41,158.09
628,2019,2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,Going Bad (feat. Drake),[hip hop],0.89,0.50,0.09,0.26,0.25,0.54,86.00
629,2019,5WHTFyqSii0lmT9R21abT8,Mabel,Dont Call Me Up,[Dance/Electronic],0.67,0.88,0.15,0.30,0.08,0.23,98.99
630,2019,285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,[hip hop],0.51,0.57,0.20,0.35,0.34,0.22,839.03
631,2019,0uUNN1nSoUx1A4fkDCWDQ7,Ava Max,So Am I,[pop],0.68,0.66,0.04,0.07,0.35,0.61,130.09
632,2019,7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now,[hip hop],0.68,0.58,0.04,0.33,0.14,0.34,145.04
633,2019,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,How Do You Sleep?,[pop],0.48,0.68,0.09,0.15,0.08,0.35,110.57
634,2019,0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar (feat. 21 Savage),[hip hop],0.59,0.52,0.07,0.12,0.13,0.13,159.80
635,2019,51Fjme0JiitpyXKuyQiCDo,Y2K,Lalala,[pop],0.84,0.39,0.08,0.18,0.14,0.50,129.97
636,2019,7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,Girls Like You (feat. Cardi B),[pop],0.85,0.54,0.05,0.57,0.13,0.45,124.96
637,2019,6TqXcAFInzjp0bODyvrWEq,Khalid,Talk (feat. Disclosure),[pop],0.90,0.40,0.13,0.05,0.06,0.35,135.98
638,2019,116H0KvKr2Zl4RPuVBruDO,Bad Bunny,MIA (feat. Drake),[latin],0.82,0.54,0.06,0.01,0.10,0.16,97.06
639,2019,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,Piece Of Your Heart,[Dance/Electronic],0.68,0.74,0.03,0.04,0.07,0.63,124.08
640,2019,43zdsphuZLzwA9k4DJhU0I,Billie Eilish,when the partys over,[pop],0.37,0.11,0.10,0.98,0.09,0.20,82.64
641,2019,1Ej96GIBCTvgH7tNX1r3qr,Sech,Otro Trago,[latin],0.75,0.70,0.34,0.14,0.11,0.62,176.04
642,2019,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,Let Me Down Slowly,[pop],0.65,0.56,0.03,0.74,0.12,0.48,150.07
643,2019,4R8BJggjosTswLxtkw8V7P,Jhay Cortez,No Me Conoce - Remix,[latin],0.81,0.79,0.07,0.15,0.09,0.58,91.97
644,2019,2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,[pop],0.76,0.32,0.05,0.84,0.08,0.58,91.02
645,2019,2qG5sZ7Si6sdK74qLxedYM,ROSALIA,Con Altura,[R&B],0.88,0.69,0.12,0.39,0.05,0.75,97.96
646,2019,4SSnFejRGlZikf02HLewEF,Billie Eilish,bury a friend,[pop],0.91,0.39,0.33,0.74,0.11,0.20,120.05
647,2019,5ry2OE6R2zPQFDO85XkgRb,Drake,Money In The Grave (Drake ft. Rick Ross),[hip hop],0.83,0.50,0.05,0.10,0.12,0.10,100.54
648,2019,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,SAD!,[hip hop],0.74,0.61,0.15,0.26,0.12,0.47,75.02
649,2019,7COXchtUOMd6uIT6HvmRaI,Lauv,im so tired..,[pop],0.60,0.73,0.20,0.18,0.24,0.53,102.21
650,2019,5W83ErFkO3aKAIS1WMi6u0,Anuel AA,Secreto,[latin],0.81,0.80,0.13,0.60,0.14,0.71,91.99
651,2019,4w8niZpiMy6qz1mntFA5uM,DJ Snake,Taki Taki (with Selena Gomez  Ozuna & Cardi B),[Dance/Electronic],0.84,0.80,0.23,0.16,0.06,0.62,95.88
652,2019,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,[pop],0.83,0.65,0.08,0.58,0.09,0.93,95.98
653,2019,6zeeWid2sgw4lap2jV61PZ,Khalid,Better,[pop],0.60,0.55,0.10,0.08,0.10,0.11,97.95
654,2019,0fea68AdmYNygeTGI4RC18,J Balvin,LA CANCION,[latin],0.75,0.65,0.32,0.15,0.11,0.43,176.09
655,2019,53CJANUxooaqGOtdsBTh7O,Lil Nas X,Old Town Road,[hip hop],0.91,0.52,0.13,0.04,0.09,0.47,136.02
656,2019,1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),[hip hop],0.58,0.66,0.30,0.02,0.11,0.43,93.02
657,2019,0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,[rock],0.78,0.78,0.13,0.06,0.08,0.67,124.95
658,2019,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,[pop],0.60,0.85,0.46,0.02,0.12,0.15,120.27
659,2019,4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,Sucker,[pop],0.84,0.73,0.06,0.04,0.11,0.95,137.96
660,2019,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,Moonlight,[hip hop],0.92,0.54,0.08,0.56,0.10,0.71,128.01
661,2019,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,[pop],0.60,0.45,0.02,0.16,0.11,0.17,95.05
662,2019,3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,[hip hop],0.60,0.43,0.03,0.05,0.21,0.06,76.47
663,2019,2YpeDb67231RjR0MgVLzsG,Lil Nas X,Old Town Road - Remix,[hip hop],0.88,0.62,0.10,0.05,0.11,0.64,136.04
664,2019,4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody - 2011 Mix,[rock],0.41,0.40,0.05,0.27,0.30,0.22,71.11
665,2019,7uH27oIt4a6cIFCA8ZPcyG,Ozuna,Baila Baila Baila,[latin],0.82,0.75,0.11,0.04,0.22,0.53,99.97
666,2019,6osaMSJh9NguagEDQcZaKx,DJ Snake,Loco Contigo (feat. J. Balvin & Tyga),[Dance/Electronic],0.69,0.76,0.22,0.28,0.10,0.37,192.09
667,2019,1c0hsvHLELX6y8qymnpLKL,Lunay,Soltera - Remix,[latin],0.80,0.78,0.04,0.36,0.44,0.80,92.02
668,2019,2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,2002,[pop],0.70,0.68,0.12,0.04,0.14,0.60,96.13
669,2019,2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,[pop],0.75,0.51,0.25,0.54,0.10,0.42,91.97
670,2019,5T8EDUDqKcs6OSOwEsfqG7,Queen,Dont Stop Me Now - 2011 Mix,[rock],0.56,0.87,0.17,0.05,0.78,0.61,156.30
671,2019,6v0lAdFF4haL8xjBIUjtOw,Nicky Jam,Te Robare,[latin],0.67,0.75,0.06,0.24,0.08,0.80,176.00
672,2019,7KbF6AdprOXEEHlsq11Z6d,Maluma,0.958333333,[latin],0.78,0.71,0.28,0.22,0.09,0.68,95.69
